purchase-date	order-id	item-price	販売手数料	返金額
2026-05-19T10:23:11+09:00	249-3197544-1234567	3980	597	0
2026-05-20T10:23:11+09:00	249-2724228-1234567	2480	372	0
2026-05-20T10:23:11+09:00	249-8278114-1234567	3980	597	0
2026-05-20T10:23:11+09:00	249-4540702-1234567	3980	597	0
2026-05-21T10:23:11+09:00	249-4569852-1234567	5980	897	0
2026-05-21T10:23:11+09:00	249-9408101-1234567	5980	897	0
2026-05-21T10:23:11+09:00	249-6469193-1234567	3980	597	0
2026-05-22T10:23:11+09:00	249-3199051-1234567	8800	1320	0
2026-05-22T10:23:11+09:00	249-6935510-1234567	2480	372	0
2026-05-22T10:23:11+09:00	249-9669808-1234567	8800	1320	0
2026-05-22T10:23:11+09:00	249-9416272-1234567	8800	1320	0
2026-05-22T10:23:11+09:00	249-9922542-1234567	3980	597	0
2026-05-23T10:23:11+09:00	249-8384070-1234567	2480	372	0
2026-05-23T10:23:11+09:00	249-1065976-1234567	3980	597	0
2026-05-23T10:23:11+09:00	249-3891498-1234567	3980	597	0
2026-05-23T10:23:11+09:00	249-8943893-1234567	3980	597	0
2026-05-24T10:23:11+09:00	249-2036081-1234567	2480	372	0
2026-05-24T10:23:11+09:00	249-9696448-1234567	5980	897	0
2026-05-24T10:23:11+09:00	249-2780220-1234567	8800	1320	0
2026-05-24T10:23:11+09:00	249-5169042-1234567	2480	372	0
2026-05-24T10:23:11+09:00	249-5645897-1234567	3980	597	0
2026-05-24T10:23:11+09:00	249-2639893-1234567	2480	372	0
2026-05-24T10:23:11+09:00	249-1467509-1234567	8800	1320	0
2026-05-25T10:23:11+09:00	249-8436474-1234567	2480	372	0
2026-05-25T10:23:11+09:00	249-9481774-1234567	5980	897	0
2026-05-25T10:23:11+09:00	249-5650401-1234567	3980	597	0
2026-05-25T10:23:11+09:00	249-9525445-1234567	8800	1320	0
2026-05-25T10:23:11+09:00	249-9518662-1234567	8800	1320	0
2026-05-25T10:23:11+09:00	249-9778001-1234567	3980	597	0
2026-05-25T10:23:11+09:00	249-4398871-1234567	5980	897	0
2026-05-25T10:23:11+09:00	249-3300734-1234567	8800	1320	0
2026-05-25T10:23:11+09:00	249-3040477-1234567	8800	1320	0
2026-05-26T10:23:11+09:00	249-6301261-1234567	8800	1320	0
2026-05-26T10:23:11+09:00	249-5037248-1234567	2480	372	0
2026-05-26T10:23:11+09:00	249-2226762-1234567	8800	1320	0
2026-05-26T10:23:11+09:00	249-6079806-1234567	3980	597	0
2026-05-26T10:23:11+09:00	249-3591184-1234567	2480	372	0
2026-05-26T10:23:11+09:00	249-3398789-1234567	5980	897	0
2026-05-27T10:23:11+09:00	249-8847305-1234567	3980	597	0
2026-05-27T10:23:11+09:00	249-2579162-1234567	3980	597	0
2026-05-27T10:23:11+09:00	249-9174879-1234567	8800	1320	0
2026-05-27T10:23:11+09:00	249-4753267-1234567	3980	597	0
2026-05-27T10:23:11+09:00	249-8239734-1234567	3980	597	0
2026-05-28T10:23:11+09:00	249-6689424-1234567	8800	1320	0
2026-05-28T10:23:11+09:00	249-4284050-1234567	8800	1320	0
2026-05-28T10:23:11+09:00	249-6343972-1234567	5980	897	0
2026-05-28T10:23:11+09:00	249-7139664-1234567	2480	372	0
2026-05-28T10:23:11+09:00	249-6670358-1234567	2480	372	0
2026-05-28T10:23:11+09:00	249-8389660-1234567	8800	1320	0
2026-05-28T10:23:11+09:00	249-7448231-1234567	2480	372	0
2026-05-29T10:23:11+09:00	249-9594334-1234567	5980	897	0
2026-05-29T10:23:11+09:00	249-2893308-1234567	2480	372	0
2026-05-29T10:23:11+09:00	249-2757909-1234567	3980	597	0
2026-05-29T10:23:11+09:00	249-5455429-1234567	2480	372	0
2026-05-29T10:23:11+09:00	249-1664179-1234567	5980	897	0
2026-05-30T10:23:11+09:00	249-5537332-1234567	3980	597	0
2026-05-30T10:23:11+09:00	249-8084249-1234567	3980	597	0
2026-05-30T10:23:11+09:00	249-7810674-1234567	5980	897	0
2026-05-30T10:23:11+09:00	249-9636619-1234567	3980	597	0
2026-05-30T10:23:11+09:00	249-6486963-1234567	8800	1320	0
2026-05-30T10:23:11+09:00	249-5681888-1234567	2480	372	0
2026-05-30T10:23:11+09:00	249-4076002-1234567	2480	372	0
2026-05-30T10:23:11+09:00	249-2214906-1234567	8800	1320	0
2026-05-30T10:23:11+09:00	249-1282389-1234567	5980	897	0
2026-05-31T10:23:11+09:00	249-5371335-1234567	2480	372	0
2026-05-31T10:23:11+09:00	249-4731386-1234567	2480	372	0
2026-05-31T10:23:11+09:00	249-5436751-1234567	2480	372	0
2026-05-31T10:23:11+09:00	249-8613056-1234567	2480	372	0
2026-05-31T10:23:11+09:00	249-6690022-1234567	2480	372	0
2026-05-31T10:23:11+09:00	249-5493940-1234567	8800	1320	0
2026-05-31T10:23:11+09:00	249-1724871-1234567	3980	597	0
2026-05-31T10:23:11+09:00	249-2836290-1234567	3980	597	0
